date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:39:00	558/558	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:1074189ab6cf56e601fcb923f437e645%22	https://vaperrzone.myshopify.com/robots.txt		(from )
00:39:01	114445/114445	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:364a2cf2da2d284493f475f0eee3928a%22	https://vaperrzone.myshopify.com/	C:/Users/Wasap/Desktop/sssssss/vaperrzone.myshopify.com/index.html	(from )
00:39:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2022:39:01%20GMT	http://vaperrzone.myshopify.com/cdn/shop/files/banner_1_feacce7a-607a-4ea7-84a0-06fe98682d1d.jpg?v=1724357551	C:/Users/Wasap/Desktop/sssssss/vaperrzone.myshopify.com/cdn/shop/files/banner_1_feacce7a-607a-4ea7-84a0-06fe98682d1d.0693b.delayed	(from https://vaperrzone.myshopify.com/)
00:39:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2022:39:01%20GMT	http://vaperrzone.myshopify.com/cdn/shop/t/2/assets/constants.js?v=132983761750457495441724356543	C:/Users/Wasap/Desktop/sssssss/vaperrzone.myshopify.com/cdn/shop/t/2/assets/constants91a6.js	(from https://vaperrzone.myshopify.com/)
00:39:01	25049/25049	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Aug%202024%2022:10:17%20GMT	https://vaperrzone.myshopify.com/cdn/shop/files/banner_1_feacce7a-607a-4ea7-84a0-06fe98682d1d.jpg?v=1724357551	C:/Users/Wasap/Desktop/sssssss/vaperrzone.myshopify.com/cdn/shop/files/banner_1_feacce7a-607a-4ea7-84a0-06fe98682d1d693b.jpg	(from https://vaperrzone.myshopify.com/)
00:39:01	258/258	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2022%20Aug%202024%2020:03:22%20GMT	https://vaperrzone.myshopify.com/cdn/shop/t/2/assets/constants.js?v=132983761750457495441724356543	C:/Users/Wasap/Desktop/sssssss/vaperrzone.myshopify.com/cdn/shop/t/2/assets/constants91a6.js	(from https://vaperrzone.myshopify.com/)
00:39:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2022:39:02%20GMT	http://vaperrzone.myshopify.com/cdn/shop/t/2/assets/pubsub.js?v=158357773527763999511724356543	C:/Users/Wasap/Desktop/sssssss/vaperrzone.myshopify.com/cdn/shop/t/2/assets/pubsubeda6.js	(from https://vaperrzone.myshopify.com/)
00:39:02	476/476	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2022%20Aug%202024%2020:03:22%20GMT	https://vaperrzone.myshopify.com/cdn/shop/t/2/assets/pubsub.js?v=158357773527763999511724356543	C:/Users/Wasap/Desktop/sssssss/vaperrzone.myshopify.com/cdn/shop/t/2/assets/pubsubeda6.js	(from https://vaperrzone.myshopify.com/)
00:39:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2022:39:02%20GMT	http://vaperrzone.myshopify.com/cdn/shop/t/2/assets/global.js?v=88558128918567037191724356543	C:/Users/Wasap/Desktop/sssssss/vaperrzone.myshopify.com/cdn/shop/t/2/assets/global0c30.js	(from https://vaperrzone.myshopify.com/)
00:39:02	32539/32539	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2022%20Aug%202024%2020:03:22%20GMT	https://vaperrzone.myshopify.com/cdn/shop/t/2/assets/global.js?v=88558128918567037191724356543	C:/Users/Wasap/Desktop/sssssss/vaperrzone.myshopify.com/cdn/shop/t/2/assets/global0c30.js	(from https://vaperrzone.myshopify.com/)
